aaa	葡萄牙
blj	3
blk	3
bll	3
blm	3
bln	3
blo	3
blq	3
bls	3
blt	3
blv	3
bma	出苗
bmc	隔岸观火
bmd	出奇
bme	㔘
bmf	出去
bmg	出来
bmi	出汗
bmk	出路
bmn	出局
bmo	出庭
bmq	出名
bmr	出气
bms	3
bmt	出自
bmu	出门
bmw	聘任
bmy	出访
bna	3
bnb	联展联销
bnc	3
bnd	3
bne	3
bnh	阝
bnm	3
bnn	耴
bno	孔庙
bnp	3
bnt	了得
bob	出席了大会
boc	3
boe	3
bof	职业培训
bog	䧨
boh	3
boj	3
bok	3
bom	3
bon	3
bos	3
bot	3
bou	出席并讲话
bow	职业介绍
box	3
boy	防腐剂
bpc	3
bpd	取之不尽
bpf	孤寡老人
bpg	䧑
bph	3
bpi	辽河
bpl	3
bpm	3
bpn	3
bpo	3
bpr	耽搁
bps	辽西
bpv	3
bpw	聺
bqa	隐匿
bqb	陷阱
bqg	隐形
bqj	3
bqk	㝃
bql	3
bqm	3
bqn	隐忧
bqr	出尔反尔
bqt	隐私
bqx	承包费
bra	3
brb	3
bre	3
brf	函授教育
brh	3
bri	陎
brj	3
brk	3
brl	3
bro	3
brq	孤独
brs	防护林带
brv	3
brw	阿拉伯数字
brx	3
bsb	3
bsc	3
bsd	3
bse	3
bsf	䧣
bsl	▃
bsm	3
bsn	3
bsp	3
bsq	3
bsr	3
bss	3
bsx	3
bsy	3
bta	职务工资
btb	卫生院
btd	降压
bte	3
btf	联系地址
btg	隆重开幕
bti	降温
btj	䧗
btk	耳鼻喉科
btl	出版界
btn	防御性
bto	联系业务
btp	联系实际
btr	随身携带
bts	防微杜渐
btt	降息
btu	出版单位
btw	联系人
btx	愻
bty	职称评定
bub	联产承包
bud	障碍
bue	鐆
buf	孤立无援
buj	聪明
bul	3
bun	陶冶情操
bup	联军
bur	子弟兵
buu	陪着
buw	陪伴
bux	聪颖
buy	联户
bvb	3
bvc	3
bvd	3
bvj	隟
bvl	3
bvm	3
bvn	3
bvq	3
bvs	3
bvt	3
bvv	3
bvx	3
bvy	3
bwa	坠落
bwb	聚集了
bwd	附有
bwe	险胜
bwf	联合声明
bwg	队列
bwh	附上
bwi	联合举行
bwj	㜾
bwk	附中
bwl	联合国安理会
bwm	险峰
bwn	阶段性
bwq	除名
bwr	聘任制
bwt	险种
bwu	隐含着
bwv	隝
bww	联合会
bwx	联合经营
bwy	附设
bxb	3
bxg	䧘
bxh	3
bxi	阶级觉悟
bxj	3
bxl	3
bxm	3
bxo	3
bxq	3
bxr	3
bxv	3
bxw	3
bxx	聫
bxy	3
bya	出谋划策
byf	防雨
byg	隔离带
byi	卪
byj	也就是说
byk	䧚
byl	3
bym	3
byn	阸
byo	防爆
byp	防灾
byt	防务
byu	防疫
byv	3
byw	防化
caa	能工巧匠
cab	3
cac	3
cad	䪻
caf	3
cak	3
cal	3
caq	3
cax	3
cay	劲旅
cbb	3
cbc	3
cbd	3
cbe	3
cbf	3
cbi	3
cbk	3
cbl	3
cbm	3
cbn	3
cbo	3
cbp	3
cbq	3
cbr	3
cbs	3
cbu	3
cbv	3
cbx	3
cca	3
ccb	又及
ccc	叠
cce	双脚
ccf	欢欢喜喜
cck	3
ccl	双轨
cco	熊熊燃烧
ccr	双打
ccs	桑植
ccu	双亲
ccx	3
ccy	双方
cda	3
cde	参加
cdg	参天
cdj	奙
cdk	3
cdl	马克思
cdp	对大家来说
cdq	3
cds	3
cdv	3
cdw	参保
cdx	3
cdy	双百方针
ceb	劝阻
cec	3
ced	通达
cee	通胀
cef	能干
ceh	恿
cei	参加活动
cej	通畅
cen	劝导
ceo	3
ceq	双边贸易
cer	能手
ces	3
cet	通行
ceu	通产
cev	3
cew	通俗
cex	通缉
cey	通话
cfb	对子
cfe	3
cff	对过
cfg	对正
cfi	圣洁
cfj	对虾
cfk	对路
cfl	3
cfm	对岸
cfn	对局
cfo	圣火
cfq	对角
cfr	对接
cft	对称
cfu	对准
cfv	3
cfw	圣人
cfx	圣母
cfy	对方
cga	骐
cgb	骗取
cgc	驿
cgd	驮
cge	驯服
cgf	参与者
cgg	马列
cgj	驲
cgk	马路
cgl	驱车
cgn	骗局
cgo	3
cgp	马赛
cgq	驺
cgr	驻扎
cgs	马术
cgt	骢
cgu	又一次
cgw	骅
cgx	3
cgy	驴
cha	3
chb	3
chc	骑虎难下
chd	3
chf	3
chg	3
chh	3
chi	3
chj	3
chk	3
chl	3
chm	3
chn	3
cho	3
chp	3
chs	3
cht	3
chu	3
chv	3
chw	3
chx	3
chy	3
cib	3
cic	3
cid	3
cie	3
cig	邓小平文选
cih	3
cii	台湾海峡
cik	3
cil	3
cio	3
cip	3
cit	3
ciu	能源部
cix	3
ciy	3
cja	3
cjb	3
cjc	3
cjd	3
cje	3
cjg	3
cjh	3
cji	3
cjj	3
cjk	3
cjl	3
cjm	3
cjn	3
cjo	3
cjq	3
cjr	3
cju	3
cjv	3
cjw	3
cjx	3
cjy	3
cka	3
ckb	台联
ckc	3
ckd	3
ckf	台南
ckg	瓵
ckl	3
ckn	乨
ckq	㰧
ckr	3
ckt	欢蹦乱跳
cku	辝
ckv	3
cky	台词
cla	3
clb	3
clc	3
cld	3
cle	3
clf	3
clg	3
cli	3
clj	3
clk	3
cll	3
cln	3
clo	3
clp	3
clq	3
cls	3
clt	3
clv	3
clw	3
clx	3
cly	3
cma	3
cmb	3
cmc	3
cme	3
cmf	3
cmg	3
cmi	观光
cmk	3
cml	3
cmm	3
cmr	对内搞活
cms	3
cmt	3
cmu	观音
cmv	3
cmx	3
cna	巴东
cnc	能屈能伸
cnd	难以克服
cne	3
cnf	予以考虑
cnh	矛
cni	预演
cnj	3
cnn	难以避免
cnp	预祝
cnq	预兆
cnr	马尼拉
cns	预想
cnt	预先
cnu	巴彦
cnw	柔情似水
cnx	巴结
cny	预计
coa	駏
cob	䣕
coc	騒
cod	駓
coe	䮑
cof	馶
cog	駤
coh	驉
coi	騨
coj	騉
cok	驒
col	䮫
com	駚
con	駜
coo	驜
cop	騌
coq	駣
cor	駯
cos	驔
cot	駞
cou	騚
cov	騄
cow	駖
cox	3
coy	駮
cpa	3
cpb	3
cph	3
cpi	3
cpj	3
cpl	3
cpm	3
cpn	3
cpo	3
cpq	3
cps	3
cpv	3
cpw	3
cpx	3
cpy	3
cqb	对外联络
cqc	欢迎参观
cqg	对外开放政策
cqh	3
cqj	3
cql	3
cqm	3
cqn	欢心
cqq	对外贸易经济合作部
cqr	对外援助
cqt	欢迎垂询
cqv	3
cqw	驻外使馆
cqx	对外经济贸易
cqy	允诺
cra	3
crc	3
crd	3
crg	3
crh	3
crj	3
crk	3
crl	3
crm	3
cro	3
crq	3
cru	3
crv	3
crw	3
crx	3
cry	3
csa	3
csb	3
csc	3
csd	通权达变
cse	3
csf	3
csg	3
csh	3
csi	3
csj	3
csk	3
csl	3
csm	3
csn	3
cso	3
csp	3
csq	3
csr	3
csv	3
csw	3
csx	3
cta	难辞其咎
ctc	3
ctd	逘
cte	3
ctf	预算赤字
ctg	对我来说
cth	3
ctj	3
ctk	3
cts	3
ctt	牟利
ctw	对簿公堂
cty	双向交流
cub	3
cuc	3
cue	3
cuf	3
cuh	3
cuj	3
cuk	3
cul	3
cum	3
cun	3
cuo	3
cup	3
cuq	3
cur	3
cus	3
cut	3
cuu	3
cuv	3
cvd	3
cvf	3
cvg	3
cvh	3
cvi	3
cvj	3
cvk	3
cvl	3
cvm	3
cvn	3
cvo	3
cvp	3
cvq	3
cvr	3
cvs	3
cvt	3
cvv	3
cvw	3
cvx	3
cvy	3
cwc	难分难解
cwe	难办
cwf	难堪
cwg	对华政策
cwj	通俗易懂
cwk	通信员
cwl	3
cwn	难怪
cwq	难逃
cwr	通信兵
cws	3
cwt	难得
cwu	对华关系
cwv	鳮
cww	难保
cwy	难为
cxa	3
cxb	3
cxd	3
cxe	3
cxf	3
cxg	3
cxh	3
cxi	3
cxj	3
cxk	3
cxl	3
cxm	3
cxn	3
cxp	3
cxq	3
cxr	3
cxs	3
cxt	3
cxu	3
cxv	3
cxx	3
cxy	3
cye	3
cyh	3
cyo	3
cyq	3
cyu	能言善辩
cyy	㕚
daa	礷
dab	3
dad	大草原
dae	毻
daf	硬功夫
dah	在某些特殊情况下
daj	尤其是
dak	㚜
dal	百花园
dam	碤
dan	不甘心
dap	不切实际
daq	有其名而无其实
dar	成功的
dat	在某种程度上
daw	丰功伟绩
day	成功率
dba	3
dbc	太阳能电池
dbd	奇耻大辱
dbf	在职干部
dbg	不耻下问
dbh	㿴
dbk	3
dbl	3
dbm	大陆同胞
dbt	百孔千疮
dbw	大出风头
dcd	不能不
dce	髡
dcf	码元
dcg	不难理解
dch	䦊
dci	奋勇当先
dcj	3
dcl	䦉
dcn	雄心
dco	礮
dct	镺
dcu	厺
dcw	雄风
dcx	3
dcy	犮
dda	大蒜
ddb	大院
ddc	大通
ddd	大
dde	大脑
ddf	大夫
ddg	砺
ddh	大步
ddi	大潮
ddj	硕果
ddk	大路
ddl	大田
ddm	大同
ddn	大忙
ddo	大米
ddp	大军
ddq	在不久的将来
ddr	大气
dds	大概
ddt	大街
ddu	大门
ddv	大娘
ddw	大公
ddx	大纲
ddy	靥
dea	有节
deb	胡子
dec	不受欢迎的人
ded	有碍
dee	有力
def	有趣
deg	感受到
deh	龙腾虎跃
dei	不妥当
del	不加思索
den	有情
deo	有序
dep	戞
deq	有钱
der	有所
des	而且要
det	历程
deu	有意
dew	历代
dex	有缘
dey	有为
dfa	龙井茶
dfb	百无聊赖
dfc	奔驰
dfd	夸大
dfe	辰
dff	夳
dfg	砖瓦
dfh	夺目
dfi	硕士学位
dfk	辱骂
dfl	大无畏
dfn	刳
dfp	成才之路
dfr	压制
dfs	大规模的
dft	奔向
dfu	不过关
dfv	不过如此而已
dfw	压价
dfx	春雨绵绵
dfy	成都市
dga	厂区
dgb	咸阳
dgc	三台
dgd	石灰
dge	三月
dgf	感动
dgg	有一天
dgh	大开眼界
dgi	感染
dgj	硬是
dgk	厨
dgl	古田
dgm	古典
dgn	研发
dgo	三废
dgp	不一定
dgq	三角
dgr	感到担心
dgs	感想
dgt	
dgu	石头
dgv	三好
dgw	古代
dgx	三级
dgy	厂房
dha	在此基础上
dhb	存取
dhc	不对
dhd	彗
dhe	不力
dhf	破坏
dhg	戚
dhh	不肯
dhi	在学
dhj	不易
dhk	砧
dhl	还回
dhm	否则
dhn	不敢
dho	还应
dhp	在家
dhq	不久
dhr	破损
dhs	不要
dht	不管
dhu	破产
dhv	挈
dhw	存储
dhx	还给
dhy	不变
dia	磲
dib	硬汉子
dic	耛
did	有没有
die	大兴县
dif	耕地
dig	硄
dih	耚
dii	耥
dij	春光明媚
dik	3
dil	耕田
din	䎣
dio	大酒店
dip	不治之症
diq	3
dir	㼍
dis	感光材料
dit	大学生
diu	耗资
diw	不法分子
dix	耭
diy	成活率
dja	厚薄
djc	3
djd	不明不白
dje	嬮
djf	百元
djg	有鉴于此
dji	在野党
djj	成果鉴定
djk	3
djn	不明飞行物
djp	大显神通
djr	百年
djt	百科
dju	厚道
djw	百倍
dkd	大喊大叫
dkf	大中城市
dkg	有别于
dkh	大踏步
dki	右派
dkj	历史时刻
dkk	磾
dkl	有中国特色
dkm	奏鸣曲
dkn	有史以来
dko	3
dkq	3
dkr	不足挂齿
dkt	历史知识
dku	历史问题
dkv	3
dkw	历史悠久
dkx	历史纪录
dky	成品率
dlc	不畏艰苦
dld	三思而后行
dlf	奋进
dlj	3
dlk	硘
dll	礧
dlo	3
dlq	3
dlr	3
dls	硱
dlv	3
dlw	㎜
dlx	磥
dly	3
dma	布鞋
dmb	面子
dmc	原则通过
dmd	歪曲历史
dme	耐用
dmf	大幅增长
dmg	面颊
dmh	面目
dmj	面
dmk	3
dmn	耐心
dmo	面料
dmp	面容
dmq	而外
dmr	厕所
dmt	不同程度
dmu	不同意
dmw	面值
dmy	古典文学
dna	尤其
dnb	尮
dnd	盛大
dne	尨
dnf	雄心勃勃
dng	盛事
dnh	㝿
dni	大惊小怪
dnj	㞁
dnk	大飞跃
dnl	㞇
dnm	盛典
dnn	大局已定
dno	3
dnp	大展宏图
dnq	盛名
dnr	大屠杀
dns	不尽相同
dnt	成片
dnu	盛产
dnv	不怀好意
dnw	成份
dnx	成绩
dny	成熟
doa	矿藏
dod	三座大山
doe	不断胜利
dof	不断增强
dog	不断开辟
doh	3
doi	灰尘
don	不断改善
doo	灰烬
dor	矿泉
dot	矿长
dou	不断总结
dow	不断体现
doy	态度蛮横
dpa	不定期地
dpc	3
dpd	不寒而栗
dpf	有害无益
dpg	达到
dpi	大礼堂
dpj	大祸临头
dpk	在实践中
dpl	牵连
dpm	3
dpo	大家庭
dpp	不安定因素
dpq	不容忽视
dpr	有害的
dps	大案要案
dpt	有害物质
dpu	成家立业
dpv	3
dpw	在社会上
dpx	丰富经验
dpy	不容许
dqa	确切
dqc	3
dqd	古色古香
dqe	勀
dqf	砸锅卖铁
dqg	三角形
dqh	龙争虎斗
dqi	春色满园
dqn	有错必纠
dqo	大多数人的
dqp	布鲁塞尔
dqq	大锅饭
dqr	克制
dqs	3
dqt	大错特错
dqw	确信
dqx	3
dqy	确认
dra	有所区别
drb	压担子
drd	研制成
drf	原载
drg	原理
dri	原油
drj	不失时机
drl	成年累月
drm	原由
drn	爽快
drp	大年初一
drq	厄瓜多尔
drr	有所提高
drs	碑林
drt	原告
dru	原意
drw	原件
dry	原文
dsa	在本世纪内
dsc	奇观
dsd	大可不必
dsf	不相干
dsg	不可一世
dsh	不相上下
dsi	厅堂
dsj	奇景
dsk	剞
dsn	不可避免地
dso	存栏数
dsq	古树名木
dsr	不可抗拒
dss	不可想象
dst	在校生
dsu	大西北
dsw	不可逾越
dsy	不可言状
dta	三等功
dtb	故障
dtc	3
dtd	不知不觉
dte	䃑
dtf	面向未来
dtg	不利于
dth	故此
dti	不科学
dtj	寿星
dtl	磇
dtn	帮忙
dto	磻
dtp	面向社会
dtr	不知所措
dts	不得要领
dtt	不管怎样
dtu	故意
dtw	百科全书
dty	不知为什么
dua	雄姿英发
dub	确立了
duc	3
dud	奋斗历程
due	厚着脸皮
duf	有关规定
dug	磁带
duh	大半辈子
dui	不减当年
duj	成问题
duk	䂱
dul	破关斩将
dum	春意盎然
dun	碰壁
duo	奋斗业绩
dup	而立之年
duq	磁铁
dur	在新的一年里
dus	磸
dut	有关条款
duu	矿产资源
duw	三资企业
duy	在北京召开
dva	3
dvf	砕
dvg	不妨一试
dvh	3
dvi	大好河山
dvk	3
dvm	3
dvn	3
dvq	3
dvr	3
dvt	碯
dvu	不好意思
dvw	在群众中
dvy	不妨试试
dwa	夏令营
dwb	大个子
dwc	不仅能在
dwd	百货大楼
dwe	不舒服
dwf	成人教育
dwg	硷
dwh	胡作非为
dwi	泰
dwj	不仅是
dwk	大合唱
dwl	有偿转让
dwn	大会发言
dwp	存储容量
dwq	春色
dwr	大公报
dws	大体相当
dwt	‰
dwu	奉送
dwv	不但如此
dww	不仅仅是
dwx	大使级
dwy	碓
dxa	3
dxb	牵强附会
dxc	3
dxd	有张有弛
dxe	3
dxg	不绝于耳
dxi	龙江
dxj	大约是
dxk	不费吹灰之力
dxo	历经磨难
dxq	3
dxs	3
dxt	三级简码
dxu	成绩单
dxw	在编人员
dxx	䃈
dxy	龙
dya	有效期
dyd	不言而喻
dyf	大市场
dyg	太平
dyi	犬
dyj	不良影响
dyk	碠
dyl	䃶
dym	3
dyn	有效性
dyo	在主席台就座的有
dyp	成交额
dyr	不良反应
dys	有话要说
dyt	碎片
dyu	不良资产
dyv	硠
dyw	研讨会
dyy	在讲话中
eae	受苦受难
eaf	腜
eag	毁于
eaj	腊
eak	貙
eam	䐵
eaq	䐶
eat	3
eaw	㩓
eax	3
eay	㬻
ebd	采取不正当的手段
ebe	㔜
ebg	受聘于
ebj	3
ebl	3
ebm	貀
ebn	边防局
ebo	3
ebs	3
ebt	服役
ebu	边防前线
ebv	3
ebx	3
ecb	3
ecg	3
ecp	3
ecs	3
ecu	3
ecv	3
ecx	3
edc	胈
edd	脍不厌细
edf	采石场
edh	肧
edi	3
edk	3
edl	3
edm	媭
edn	䏵
edp	3
edu	䐻
edw	力不从心
edy	朋友遍天下
eea	月工
eee	劦
eef	月坛
eeg	月末
eei	䏮
eej	3
eel	3
eeq	腉
eer	胁迫
eet	月入
eew	月份
efc	胠
efd	頱
efe	肝胆
eff	胿
efh	虢
efi	悬壶济世
efk	脚跟
efl	3
efn	䏯
efq	肤色
eft	䐗
efu	边境冲突
efw	臛
egb	䢸
egc	胵
egd	助威
ege	脯
egf	县直
egg	受到表彰
egh	3
egi	悬赏
egj	腖
egk	脨
egl	3
egm	县内
egn	且慢
ego	助燃
egr	加速推进
egt	县长
egu	肺病
egv	䑖
egw	受到追究
egx	腈纶
eha	用功
ehb	3
ehc	鄋
ehf	用武
ehg	用来
ehh	臞
ehi	用光
ehk	用品
ehm	3
ehn	用心
ehs	3
ehv	3
ehy	用语
eib	3
eic	3
eid	3
eif	3
eih	3
eii	3
eik	3
eio	3
eis	3
eix	3
eiy	3
eja	3
eje	3
ejf	㦟
ejg	䑗
ejj	蠫
ejl	䝢
ejo	3
ejq	3
ejr	3
eju	3
ejv	3
ejw	3
eka	架式
ekb	䐕
ekc	驾驭
ekd	脱口而出
ekg	加班
ekh	贺卡
eki	加水
ekj	贺电
ekk	貚
ekm	贺岁
ekn	加剧
ekp	脚踏实地
ekq	3
ekr	架势
eks	架构
ekt	加长
eku	贺兰
ekw	加价
eky	贺词
elc	3
elf	爱国志士
elg	腲
elj	3
elk	3
ell	3
elm	3
elp	3
els	㬷
elv	貗
elx	䐯
ely	爱国主义教育
ema	悬崖勒马
emc	3
emd	貒
eme	3
emf	䫇
emg	璺
emi	3
emj	3
emo	3
emr	3
ems	3
emt	3
emu	3
emw	采购供应站
emy	3
ena	3
enc	3
end	胸怀大局
ene	3
eng	毁尸灭迹
enm	3
enn	加快发展
enp	3
enr	力气
ent	加以重视
enu	鼷
enw	爱憎分明
eny	臎
eoa	3
eob	3
eoc	3
eod	3
eoe	3
eog	3
eoh	3
eoi	3
eoj	3
eok	3
eol	3
eom	3
eop	3
eor	3
eos	3
eot	3
eox	3
epa	受宠若惊
epb	边陲
epc	受难
epd	腾空而起
epe	受用
epf	边境
epg	受理
eph	3
epj	3
epk	3
epl	爱祖国
epn	爱民
epo	3
epp	受审
epq	䏙
epr	爱护
eps	3
ept	3
epu	受奖
epw	受伤
epy	爱恋
eqe	彩色胶卷
eqf	3
eqj	彩色电视
eqk	胸口
eql	3
eqm	3
eqn	褜
eqo	边角废料
eqr	肳
eqs	3
eqt	3
equ	胸前
eqw	鶂
era	3
ere	遥遥
erh	䝖
eri	䏭
erj	3
erm	鹞
ero	3
erp	3
erq	乳白色
err	壆
ert	服兵役
erw	爱护公物
esa	3
esc	3
esf	彩霞
esj	采暖
